country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
France,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,1720,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,671000,,,
Indonesia,562,0,,,,,,,,,,,,,,,,,,,,,,,0,699000,0,36300,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,5140,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,27300,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,15800,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,12100,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,759,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,4830,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,105000,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,1060000,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,75400,,,
Vanuatu,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
